week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2025-11-28,247,2025-11-28,56.9900016784668,2025-11-28,50.150001525878906,2025-11-28,24.700000762939453,2025-11-28,92.55999755859375,2025-11-28,8122.7099609375,2025-11-28,6849.08984375,2025-11-28,23365.689453125,2025-11-28,576.4299926757812,2025-11-28
2025-12-05,247,2025-12-05,57.9900016784668,2025-12-05,53.45000076293945,2025-12-05,23.389999389648438,2025-12-05,92.37000274658203,2025-12-05,8114.740234375,2025-12-05,6870.39990234375,2025-12-05,23578.130859375,2025-12-05,578.77001953125,2025-12-05
2025-12-12,261,2025-12-12,58.66999816894531,2025-12-12,54.54999923706055,2025-12-12,25.469999313354492,2025-12-12,87.33000183105469,2025-12-12,8068.6201171875,2025-12-12,6827.41015625,2025-12-12,23195.169921875,2025-12-12,578.239990234375,2025-12-12
2025-12-19,244,2025-12-19,57.84000015258789,2025-12-19,55.97999954223633,2025-12-19,25.68000030517578,2025-12-19,87.93000030517578,2025-12-19,8151.3798828125,2025-12-19,6834.5,2025-12-19,23307.619140625,2025-12-19,587.5,2025-12-19
2025-12-26,239,2025-12-24,57.7599983215332,2025-12-26,55.22999954223633,2025-12-26,26.290000915527344,2025-12-26,87.44999694824219,2025-12-26,8103.580078125,2025-12-24,6929.93994140625,2025-12-26,23593.099609375,2025-12-26,588.72998046875,2025-12-23
2026-01-02,243,2026-01-02,53.779998779296875,2026-01-02,50.560001373291016,2026-01-02,24.649999618530273,2026-01-02,82.97000122070312,2026-01-02,8195.2099609375,2026-01-02,6858.47021484375,2026-01-02,23235.630859375,2026-01-02,592.780029296875,2025-12-30
2026-01-09,230,2026-01-09,56.59000015258789,2026-01-09,54.47999954223633,2026-01-09,25.600000381469727,2026-01-09,89.51000213623047,2026-01-09,8362.08984375,2026-01-09,6966.27978515625,2026-01-09,23671.349609375,2026-01-09,609.6699829101562,2026-01-09
2026-01-16,213,2026-01-16,52.650001525878906,2026-01-16,46.599998474121094,2026-01-16,24.25,2026-01-16,85.72000122070312,2026-01-16,8258.9404296875,2026-01-16,6940.009765625,2026-01-16,23515.390625,2026-01-16,614.3800048828125,2026-01-16
2026-01-23,182,2026-01-23,53.08000183105469,2026-01-23,48.45000076293945,2026-01-23,24.299999237060547,2026-01-23,81.44000244140625,2026-01-23,8143.0498046875,2026-01-23,6915.60986328125,2026-01-23,23501.240234375,2026-01-23,608.3400268554688,2026-01-23
2026-01-30,155.5,2026-01-30,46.470001220703125,2026-01-30,43.16999816894531,2026-01-30,21.350000381469727,2026-01-30,77.0199966430664,2026-01-30,8126.52978515625,2026-01-30,6939.02978515625,2026-01-30,23461.8203125,2026-01-30,611,2026-01-30
2026-02-06,141,2026-02-06,43.849998474121094,2026-02-06,48.939998626708984,2026-02-06,18.149999618530273,2026-02-06,69.8499984741211,2026-02-06,8273.83984375,2026-02-06,6932.2998046875,2026-02-06,23031.2109375,2026-02-06,617.1199951171875,2026-02-06
2026-02-13,124,2026-02-13,38.61000061035156,2026-02-13,46.9900016784668,2026-02-13,16.139999389648438,2026-02-13,61.93000030517578,2026-02-13,8311.740234375,2026-02-13,6836.169921875,2026-02-13,22546.669921875,2026-02-13,617.7000122070312,2026-02-13
